"GEO_ID","NAME","B14001_001E","B14001_001M","B14001_002E","B14001_002M","B14001_003E","B14001_003M","B14001_004E","B14001_004M","B14001_005E","B14001_005M","B14001_006E","B14001_006M","B14001_007E","B14001_007M","B14001_008E","B14001_008M","B14001_009E","B14001_009M","B14001_010E","B14001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Enrolled in school","Margin of Error!!Total!!Enrolled in school","Estimate!!Total!!Enrolled in school!!Enrolled in nursery school, preschool","Margin of Error!!Total!!Enrolled in school!!Enrolled in nursery school, preschool","Estimate!!Total!!Enrolled in school!!Enrolled in kindergarten","Margin of Error!!Total!!Enrolled in school!!Enrolled in kindergarten","Estimate!!Total!!Enrolled in school!!Enrolled in grade 1 to grade 4","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 1 to grade 4","Estimate!!Total!!Enrolled in school!!Enrolled in grade 5 to grade 8","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 5 to grade 8","Estimate!!Total!!Enrolled in school!!Enrolled in grade 9 to grade 12","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 9 to grade 12","Estimate!!Total!!Enrolled in school!!Enrolled in college, undergraduate years","Margin of Error!!Total!!Enrolled in school!!Enrolled in college, undergraduate years","Estimate!!Total!!Enrolled in school!!Graduate or professional school","Margin of Error!!Total!!Enrolled in school!!Graduate or professional school","Estimate!!Total!!Not enrolled in school","Margin of Error!!Total!!Not enrolled in school"
"0500000US37193","Wilkes County, North Carolina","67052","501","14493","1067","692","367","751","482","2740","573","4194","949","3795","634","2254","795","67","121","52559","1117"
"0500000US37195","Wilson County, North Carolina","78955","592","19440","1129","1413","620","1200","685","5422","898","4191","1037","3524","572","3489","786","201","196","59515","1233"
"0500000US38015","Burleigh County, North Dakota","86786","409","21037","1221","686","280","1380","439","5151","954","3374","801","4437","651","4927","1022","1082","616","65749","1349"
"0500000US38017","Cass County, North Dakota","160136","719","48438","2948","2809","868","2959","1016","7768","1383","7562","1476","5787","778","19129","2880","2424","761","111698","3043"
"0500000US38035","Grand Forks County, North Dakota","67196","440","23414","1330","1384","620","904","450","2744","658","3175","871","2368","413","10915","1157","1924","523","43782","1304"
"0500000US38101","Ward County, North Dakota","66735","650","16059","1119","608","316","1100","358","3736","610","2666","622","3792","645","3236","990","921","498","50676","1338"
"0500000US39003","Allen County, Ohio","101593","511","27823","1466","1461","531","1583","491","5326","782","6017","844","5334","722","7328","1364","774","406","73770","1623"
"0500000US39007","Ashtabula County, Ohio","95806","439","21796","984","982","417","475","262","5230","760","5556","722","6366","643","2679","643","508","250","74010","1080"
"0500000US39013","Belmont County, Ohio","67115","367","12257","682","872","360","1004","472","2761","515","2827","647","3221","373","1362","428","210","171","54858","715"
"0500000US39017","Butler County, Ohio","360435","1071","105868","3261","6302","1454","4622","1000","20764","1603","20387","1718","20705","1403","29323","2506","3765","1098","254567","3304"
