"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races"
"0500000US06017","El Dorado County, California","183087","*****","159882","*****","143835","203","1361","661","868","386","7774","902","283","396","61","100","5700","1146","141","151","5559","1151","23205","*****","16698","2293","105","177","674","597","72","132","0","200","4858","1975","798","512","522","467","276","237"
"0500000US06019","Fresno County, California","965974","*****","464203","*****","295864","1910","45026","1892","4001","1344","94339","2497","1488","247","3448","1989","20037","3172","1159","1113","18878","3022","501771","*****","288731","11782","4855","1649","4452","1682","1819","950","973","908","184683","11999","16258","3394","6850","1765","9408","2701"
"0500000US06023","Humboldt County, California","134809","*****","120214","*****","101360","417","1660","592","5625","1109","3351","682","67","115","374","389","7777","1369","93","146","7684","1381","14595","*****","6494","1728","490","338","1751","1441","0","200","0","200","5191","1874","669","439","229","167","440","410"
"0500000US06025","Imperial County, California","179091","*****","31743","*****","21854","302","3365","1109","2127","936","2537","273","122","183","0","200","1738","1324","263","305","1475","1299","147348","*****","98872","6709","628","351","1111","1463","207","255","122","212","39264","5980","7144","2609","4277","1870","2867","1789"
"0500000US06029","Kern County, California","874589","*****","423763","*****","314827","1105","43164","2632","3708","1028","38769","1719","925","409","923","730","21447","3499","1528","1438","19919","3231","450826","*****","349175","9134","3776","1660","6634","2955","1996","1462","0","200","76394","8345","12851","2758","7229","2164","5622","1795"
"0500000US06031","Kings County, California","150269","*****","70340","*****","50390","192","8987","1077","1375","299","5293","540","279","206","81","91","3935","1186","185","191","3750","1174","79929","*****","43575","4655","591","452","1301","680","0","200","103","169","31120","4077","3239","1561","1117","1075","2122","1177"
"0500000US06037","Los Angeles County, California","10116705","*****","5218960","*****","2695087","3561","802664","6279","18759","2470","1431071","5858","25555","1407","29670","4220","216154","9908","15795","3062","200359","9327","4897745","*****","2618037","35160","27707","3863","44835","6674","18398","3001","3046","1049","2001715","33658","184007","10402","96436","6766","87571","7867"
"0500000US06039","Madera County, California","154548","*****","67782","*****","54732","852","5154","638","785","436","3387","242","202","214","869","933","2653","683","48","107","2605","671","86766","*****","68947","4598","247","296","599","660","521","549","0","200","12489","3679","3963","2235","3853","2231","110","114"
"0500000US06041","Marin County, California","260750","*****","219124","*****","186724","922","5536","1052","112","177","15868","962","203","188","2071","1052","8610","1488","53","84","8557","1482","41626","*****","20584","3994","0","200","322","384","0","200","89","101","18118","4133","2513","1410","1098","730","1415","1122"
"0500000US06045","Mendocino County, California","87869","*****","66694","*****","58197","200","517","311","3780","530","1666","369","137","229","439","450","1958","599","0","200","1958","599","21175","*****","15721","2142","106","135","318","272","0","200","0","200","3982","1972","1048","682","247","421","801","529"
"0500000US06047","Merced County, California","266353","*****","113192","*****","78223","492","8929","500","732","404","19293","1455","242","189","1041","938","4732","1366","96","96","4636","1349","153161","*****","83401","6952","115","154","182","224","280","275","68","115","63083","6943","6032","1870","4601","1766","1431","728"
"0500000US06053","Monterey County, California","431344","*****","183877","*****","133620","885","10594","862","1660","527","25054","1418","1886","422","856","850","10207","1537","168","173","10039","1554","247467","*****","199438","8108","717","692","2290","1093","782","550","0","200","37982","8061","6258","1826","3931","1568","2327","1049"
"0500000US06055","Napa County, California","141667","*****","93960","*****","76015","164","3115","333","0","200","11501","694","47","81","39","66","3243","761","95","153","3148","750","47707","*****","26355","3175","195","190","681","523","238","247","0","200","18142","3057","2096","1378","1643","1284","453","363"
